,element,epsilon,sigma,lb_sigma,lb_epsilon
0,Ac,16.608,3.0985,3.399618360934062,82.304
1,Ag,18.1178,2.8045,3.234313682993658,83.0589
2,Al,254.152,4.0082,3.8665987637715915,201.076
3,Am,7.0458,3.0121,3.351884992060438,77.52289999999999
4,Ar,93.1052,3.446,3.5851889768881082,120.5526
5,As,155.5108,3.7685,3.7492005814573326,151.7554
6,At,142.929,4.2318,3.9729855272829777,145.4645
7,Au,19.6276,2.9337,3.3079753626652058,83.8138
8,B,90.5888,3.6375,3.683459650926015,119.2944
9,Ba,183.1907,3.299,3.507886828277104,165.59535
10,Be,42.7781,2.4455,3.0202177073846848,95.38905
11,Bi,260.6945,3.8932,3.810726439932418,204.34725
12,Bk,6.5425,2.9747,3.331010507338576,77.27125
13,Br,126.3211,3.732,3.7309998659876684,137.16055
14,C,52.8435,3.4309,3.5773253975561126,100.42175
15,Ca,119.7786,3.0282,3.360831147201537,133.8893
16,Cd,114.7458,2.5373,3.0763824534670587,131.37290000000002
17,Ce,6.5425,3.168,3.4375339998318566,77.27125
18,Cf,6.5425,2.9515,3.3179956298946505,77.27125
19,Cl,114.2426,3.5164,3.6216256018534,131.1213
20,Cm,6.5425,2.9631,3.3245094374960042,77.27125
21,Co,7.0458,2.5587,3.089328567828291,77.52289999999999
22,Cr,7.5491,2.6932,3.1694851316893726,77.77455
23,Cs,22.6472,4.0242,3.8743084544212536,85.3236
24,Cu,2.5164,3.1137,3.4079467425416143,75.2582
25,Dy,3.5229,3.054,3.375117775722797,75.76145
26,Er,3.5229,3.021,3.356833329195836,75.76145
27,Es,6.0393,2.9391,3.3110184233857716,77.01965
28,Eu,4.0262,3.1119,3.406961549533543,76.0131
29,F,25.1636,2.997,3.343472745514759,86.5818
30,Fe,6.5425,2.5943,3.1107457305282926,77.27125
31,Fm,6.0393,2.9275,3.3044780223206205,77.01965
32,Fr,25.1636,4.3654,4.0352127577117916,86.5818
33,Ga,208.8576,3.9048,3.8163993501728823,178.4288
34,Gd,4.5294,3.0005,3.3454244872661527,76.2647
35,Ge,190.7398,3.813,3.7712716688141152,169.3699
